,Sector,Category,Crop,QueryType,QueryText,KccAns,DistrictName,isPaddy
10345,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot problem in paddy  ,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water),BARGARH,1
10346,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Fipronil 5SC application ,Recommended to spray Fipronil 5%SC@2ml per litre of water,BARGARH,1
10347,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Seedling blight in paddy ,Recommended to spray Carbendazim @ 400 g/acre or Propiconazole @ 200 g/acre in 200 litre of water.,BARGARH,1
10350,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf blast infestation in paddy nursery ,Recommended to spray  Isoprothiolane 40 EC @ 300 ml/acre in 200 litres of water. Repeat the spray at 7-10 days’ interval,BARGARH,1
10351,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,varieties paddy in summer seasondalua,"Recommended varieties-khandagiri,annada,pathara,bandana,Arize Tej,Arize 6444 Gold,Arize AZ 8433 DT,mtu1153,Arize Idea,Arize 6201 Gold",BARGARH,1
10356,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Reddening of Leafs of Rice in Nursery Stage,Copper Oxychloride 2gm + Plantomycin 1gm @ 1lt of water  in Nursery Stage,BARGARH,1
10357,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,After how many days of gibberelic sprays I should go for transplanting,Advised to go for transplanting after 6-7 days after the spray.,BARGARH,1
10358,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,paddy variety,paddy variety--Mid-late duration (137-142 days) and excellent tillering potential.,BARGARH,1
10359,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,nutrient management in paddy crop basal application has been skipped,Advise to apply-5kg Urea+35kg DAP+15kg MOP/acre,BARGARH,1
10363,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Seedling blight in rice,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 3g + Plantomycin 1 g in 1 Litre water) to control seedling  blight in Paddy.,BARGARH,1
10367,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Pre  Emergence Herbicide in rice,Recommended to  Apply  Pretilachlor 50 %EC @ 320 ml Per Acre Of Land Or Mixing With 15-20kg Of Sand in rice,BARGARH,1
10368,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,     ,"ଧାନ ରେ ମୂଳ ସାର ହିସାବ ରେ Urea @ 4 kg, DAP @ 35 kg and MOP @ 15 kg ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ. 
",BARGARH,1
10370,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacteria leaf blight in Rice,"Recommended to spray  Copper Oxychloride 50% WG @ 3 gm + Plantomycin ( Streptomycin sulphate 9% + Tetracycline Hydrochloride 1% ) 1 gm in 1 litre of water  
",BARGARH,1
10372,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Paddy cultural practices related query,Advised to spray Multi K ( 13:0:45) @ 75gm in 100 liter water.,BARGARH,1
10373,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Culture practices in Paddy Nano urea dosage,Recommended to spray Nano urea @4ml in 1liter of water.,BARGARH,1
10376,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot In Paddy,Recommended to Spray Copper oxychloride @45gm + Plantomycin @15gm in 15 liter of water.,BARGARH,1
10380,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Leaf spot in paddy nursery ,Recommended to spray Propiconazole 25%ec 15ml in 15 litres water to control Leaf spot in paddy nursery ,BARGARH,1
10381,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf spot in paddy nursery ,Recommended to spray Propiconazole 25%ec 15ml in 15 litres water to control Leaf spot in paddy nursery ,BARGARH,1
10382,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Fertilizer application in 10 decimal paddy nursery at 15 liters water ,Recommended to apply 2kg MOP+4 kg Urea in 10 decimal paddy nursery at 15 liters water ,BARGARH,1
10383,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,To reduce toxicity effect of higher dose of weedicide in paddy nursery,--Recommended to spray water to reduce toxicity effect of higher dose of weedicide in paddy nursery,BARGARH,1
10384,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Sheath rot in paddy nursery ,Recommended to spray Hexaconazole 5%sc 2ml in 1 litre water to control Sheath rot in paddy nursery ,BARGARH,1
10393,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,For better growth of paddy,Recommended to spray Polyfeed ( 19:19:19 ) @ 1500 g per 200 litre of water per 1 acre of land (100 g / 15 liter) ,BARGARH,1
10394,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Growth related query in Paddy,Advised to Spray Multi K ( 13:0:45)@ 7-8ml In 15 Liter of Water for better growth.,BARGARH,1
10395,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Basal dose in paddy ,Recommended to apply 35 kg DAP+15kg MOP+5 kg Urea+10kg Zinc sulphate per acre as Basal dose in paddy ,BARGARH,1
10397,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,Spray  Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 g per 200 litre of water per 1 acre of land (2.5 gm / 1 liter of water) ,BARGARH,1
10398,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Basal dose fertilizer in paddy,"Urea @ 4 kg, DAP @ 35 kg and MOP @ 15 kg per acre.",BARGARH,1
10400,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Damping off in paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Damping off in paddy,BARGARH,1
10404,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,fungal diseases in Paddy,Recommended to spray Copper Oxychloride @ 45 gm + Plantomycin @15gm in 15 litre of water.,BARGARH,1
10405,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Seed sowing variety related query,Advised to cultivate Mamata Paddy variety .,BARGARH,1
10406,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Application timing of Multiplex Zinc in paddy ,Zinc Sulphate can be applied as 2nd fertilizer dose in paddy.,BARGARH,1
10409,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Growth related query in Paddy seedlings," Due to slow growth rate of paddy seedlings ,advised to wait 1 week for sowing. ",BARGARH,1
10410,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,varieties of Paddy for Rabi season,"Recommended varieties of Paddy for Rabi season are Silky 277, MC 13,Raja NPH 369,NP 549 Suma, NP 9308 Suma Gold, NP 9311 Zordar.",BARGARH,1
10412,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,For well vegetative growth in paddy seedling at nursery stage,Recommended to spray Polyfeed ( 19:19:19 ) @ 1500 gm per 200 litre of water per 1 acre of land or Polyfeed - vegetative booster ( 21:21:21) 1300 gm  per 200 litre of water per 1 acre of land or IFFICO (Nano urea) spray@ 2-4 ml per liter of water.,BARGARH,1
10415,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf Redding and Root Rot in Nursery Condition in Rice,Recommended to spray Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 g per 200 litre of water per 1 acre of land (2.5 gm / 1 liter of water)  in Rice,BARGARH,1
10416,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Micronutrient and vitamin application in paddy ,Recommended to apply Dhanzyme gold@5kg+Zinc sulphate@10kg per acre of land ,BARGARH,1
10422,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Sheath rotting in paddy ,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 150 g in 200 Litre water (0.75 g in 1 Litre water) per acre to control Sheath rotting in paddy .,BARGARH,1
10434,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath rot in paddy nursery ,Recommended to spray Hexaconazole 5%sc 30ml in 15 liters water to control Sheath rot in paddy nursery ,BARGARH,1
10435,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer application in 10 decimal paddy nursery at 15 days of seed sowing ,Recommended to apply 2 kg MOP+4 kg Urea+1kg Fetterra in 10 decimal paddy nursery at 15 days of seed sowing ,BARGARH,1
10441,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Yellowing the leaf of paddy,Suggest to transplant the paddy after 3 days and apply fertilizer.,BARGARH,1
10445,AGRICULTURE,Cereals,Paddy (Dhan),	Water Management	,Irrigation time of Silky Dhan,Advised to give water after 10-15 days of transplanting,BARGARH,1
10448,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Pre emergence weed control in paddy,Pre emergence weed control in paddy  = Recommended to spray Pretilachlor 50% EC @ 320 ml + 15 kg sand per 1 acre of land.,BARGARH,1
10452,AGRICULTURE,Cereals,Paddy (Dhan),Seeds, Rabi paddy seed,"Recommended Rabi paddy seed-Silky, Sindhu, MTU-1001, MTU-1010, Akash Ganga",BARGARH,1
10456,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Basal fertilizer use in paddy,"ଧାନ ରେ ମୂଳ ସାର ହିସାବ ରେ Urea @ 4 kg, DAP @ 35 kg and MOP @ 15 kg ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ. ",BARGARH,1
10457,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Preemergence herbicide,Recommended to spray Pendimethalin 30 EC @ 1320 ml per  200 litre of water per 1 acre of land ( pre-emergence herbicide ) + 20 kg sand.,BARGARH,1
10459,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,post emergence herbicide spray in Paddy ,Recommended to spray Bispyribac sodium 10% SC (Nominee gold) @ 80 ml per 200 litre of water per 1 acre of land (6 ml per 15 litre of water) as post emergence herbicide spray in Paddy. ,BARGARH,1
10460,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Paddy leaf folder ,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) to control paddy leaf folder. ,BARGARH,1
10479,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Paddy nursery related query,"ଧାନ ତଳି ଘେରା ରେ ସାର ହିସାବ ରେ DAP @ 4 kg, MOP @ 2.5 kg ଏବଂ Zinc sulphate @ 1 kg ଦିଅନ୍ତୁ ୧୦ ଡେସିମିଲ ପିଛା. ଏବଂ ତା ସହିତ Carbofuran 3G @ 1 kg ପ୍ରୟୋଗ କରନ୍ତୁ.",BARGARH,1
10480,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath rot in paddy ,Recommended to spray Hexaconazole 5%sc 30ml in 15 litres water to control Sheath rot in paddy ,BARGARH,1
10481,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Weed management,Recommended to broadcast  Pendimethalin 30 EC @ 1330 ml with  20 kg sands per acre,BARGARH,1
10482,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Basal dose for paddy,"Recommended to apply urea -6-7 kg,DAP-25 kg,Potash-20 kg ,zinc sulphate-10 kg per acre",BARGARH,1
10486,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,White Fly Infestation in Paddy  ,Recommended to spray Dhanuka Marker or Iffco Hamada ( Bifenthrin 10 % EC ) @ 500 ml per 200 litre of water per 1 acre of land - Non systemic & Broad spectrum  in Paddy  ,BARGARH,1
10492,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in rice,Recommended to apply Ferterra ( Chlorantraniliprole 0.4 % GR ) @ 4 kg per acre of land.,BARGARH,1
10499,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Seedling blight in paddy ,Recommended to spray SAAF (Carbendazim 12% + Mencozeb 63% WP )@400gm per 200 litres of water per acre of land (2gm per litre of water),BARGARH,1
10500,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf blight in paddy,Recommended to soil drench with SAAF (Carbendazim- 12% + Mancozeb - 63% ) @ 600 g per 200 litre of water per 1 acre of land (3 g in 1 Litre water) to control Leaf blight in paddy,BARGARH,1
10501,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Better growth in paddy,Recommended to spray Multi K (13:0:45) @ 1500 gm per 200 litre of water per 1 acre of land (100 g / 15 liter) for Better growth in paddy,BARGARH,1
10505,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Nutrient management in paddy crop8 days old,"Advise- if you have applied nutrient during sowing then no need of application of fertilizer in current time.if you want to apply then advise to apply Urea @ 20 kg, Zinc sulphate @ 10 kg, Ferterra @ 4 kg per acre as second fertilizer dose in Paddy after 30-35 days after sowing 
",BARGARH,1
10506,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in rice,"Recommended to broadcast Pyrazosulfuron Ethyl 10% WP 6 g/15lit water.

",BARGARH,1
10521,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer  management in paddy,"Urea-1.5 kg per 60 litre of water for nursery. and Urea @ 4 kg, DAP @ 35 kg and MOP @ 15 kg",BARGARH,1
10522,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Weed management in Paddy,Recommended to spray Pyrazosulfuron ethyl 10%WP (Saathi) @ 100gm with 20kg of sand per acre for weed management in Paddy.,BARGARH,1
10541,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Doses of  2 4D Ethyl Ester 38 EC Herbicide,"Recommended to apply 2, 4-D Ethyl Ester 38 EC Herbicide @2ml with 1 litre of water",BARGARH,1
10544,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer application in 2 acre paddy at pretillering stage ,Recommended to apply 30 kg MOP+70 kg Urea+Fettera 8kg in 2 acre paddy at pre-tillering stage ,BARGARH,1
10545,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Sheath blight in paddy ,Recommended to spray Hexaconazole 5%sc 30ml in 15 litres water to control Sheath blight in paddy ,BARGARH,1
10553,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer dose for paddy,"Recommended to apply fertilizer dose of  gromer (28-28-0) 50kg, MOP-15kg/acre.",BARGARH,1
10555,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Poor growth of Paddy seedlings,Recommended to spray Polyfeed ( 19:19:19 ) @ 100 gm per 15 litre of water for better growth of Paddy seedlings,BARGARH,1
10559,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Weed management in the paddy after 35 days of transplanting,Apply Pretilachlor 50% EC @ 320 ml per 1 acre of land mixing with 15-20 kg of sand to control Weed management in the paddy after 3-5 days of transplanting.,BARGARH,1
10561,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer dose in Paddy,Fertilizer dose in Paddy( 0.5 acre)- Urea @ 2 kg and MOP @ 8 kg,BARGARH,1
10574,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Dead heart in Paddy,"Recommended to apply Ferterra କିମ୍ବା  Thimet @ 4 kg + 20 kg sand ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ to control Dead heart in Paddy/ can spray  Caldan ( Dhanuka) 50 % SP @ 400 gm per 200 litre of water per 1 acre of land .
",BARGARH,1
10575,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Nursery Management in Rice,"ଧାନ ତଳି ଘେରା ରେ ସାର ହିସାବ ରେ DAP @ 4 kg, MOP @ 2.5 kg ଏବଂ Zinc sulphate @ 1 kg ଦିଅନ୍ତୁ ୧୦ ଡେସିମିଲ ପିଛା. ଏବଂ ତା ସହିତ Carbofuran 3G @ 1 kg ପ୍ରୟୋଗ କରନ୍ତୁ.
",BARGARH,1
10577,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Green Potash Dose per Acre in Rice,Apply 15- 20 kg /Green Potash Per acre in Rice,BARGARH,1
10580,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Second fertilizer dose in Paddy,"Recommended to apply Urea @ 20 kg, Zinc sulphate @ 10 kg, Ferterra @ 4 kg , Dhanzyme gold (granule)per acre as second fertilizer dose in Paddy. ",BARGARH,1
10581,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Weed management in paddy,Recommended to  apply  Pretilachlor 50 %EC @ 320 ml Per Acre Of Land Or Mixing With 15-20kg Of Sand within 3-5 days of sowing paddy. ,BARGARH,1
10586,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf curling in Chillies,Recommended to Spray Fipronil 5%SC@2ml in 1 liter of water.,BARGARH,1
10593,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,For raising seedlings in nursery, Advised to wait for sometime for increase in temperature which will help to raising .,BARGARH,1
10594,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Fertilizer dose in Paddy,"Recommended Fertilizer dose in Paddy( per acre): Urea @ 4 kg, DAP @ 35 kg and MOP @ 15 kg",BARGARH,1
10595,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in Paddy,Recommended to apply  Pretilachlor 50EC @ 320 mL With 20 kg of sand per acre of land,BARGARH,1
10601,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,For easy removal of paddy seedling from nursery,Advised to apply gypsum 4kg/guntha for easy removal from nursery.,BARGARH,1
10607,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in paddy,"Recommended to broadcast Pretilachlor 50%EC (Rifit, Craze) @ 320ml with 20kg of sand per acre for weed management in paddy.",BARGARH,1
10609,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy ,"Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.
",BARGARH,1
10612,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Fertilizer dose for Paddy at nursery stage,Fertilizer dose for Paddy at nursery stage = Recommended to apply DAP - 4 Kg + MOP - 2.5 Kg + Zinc Sulphate - 1 Kg per 400 sq. m nursey area and after 13-25 days apply urea or  Multi K (13:0:45) @ 1500 gm per 200 litre of water per 1 acre of land (100 g / 15 liter) . ,BARGARH,1
10615,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Pre emergence Herbicide in Rice, Recommended to  Apply  Pretilachlor 50 %EC @ 320 ml Per Acre Of Land Or Mixing With 15-20kg Of Sand(pre emergence) in Rice,BARGARH,1
10616,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Pre emergence Herbicide in Rice, Recommended to  Apply  Pretilachlor 50 %EC @ 320 ml Per Acre Of Land Or Mixing With 15-20kg Of Sand(pre emergence) in Rice,BARGARH,1
10618,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Soil Loosening in Nursery Of Rice,Apply Gypsum @4kg / 10 Decmil in Nursery Condition of rice for Soil Loosening in Nursery Of Rice,BARGARH,1
10619,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,any problem saw as seedling of rice shifted from nursery to main field,"No, any problem seen as seedling of rice shifted from nursery to main field so advised to  you to go for transplanting.",BARGARH,1
10623,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Algal growth in Paddy,Recommended to apply Copper sulphate @ 4 kg in 20 kg of sand per acre to control  Algae in Paddy field,BARGARH,1
10636,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Better growth stimulant in paddy ,Advised to apply Tropical Agro NASA@2kg per acre ,BARGARH,1
10637,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Black Insect on paddy field,Black Insect is not infesting paddy crop advised to not go for any insecticide spray ,BARGARH,1
10638,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Algal growth in paddy ,Advised to apply Copper sulphate 2 kg per acre with 15 kg sand ,BARGARH,1
10639,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Excel Mera 71 Herbicide dosage,Advised to use 6gram/1 ltr of water for weed management in paddy field.,BARGARH,1
10640,AGRICULTURE,Cereals,Others,Government Schemes,Algae in paddy ,Advised to apply Copper sulphate@2kg per acre with 15 kg Sand,BARGARH,1
10643,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Pre emergence herbicide application in paddy ,"Recommended to apply Pretilachlor 50 %EC @ 500 ml per acre of land or mixing with 15-20kg of sand
",BARGARH,1
10647,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer application  at pretillering stage in paddy ,Recommended to apply 15 kg MOP+35 kg Urea+10 kg Zinc sulphate per acre at pre-tillering stage in paddy ,BARGARH,1
10648,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,National Helpline for Farmers HELLO BAYER,"Toll free Number: 1800-120-4049
Helpline Hours:09:00am-06:00pm
Operational days:Monday to Saturday",BARGARH,1
10651,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Udbatta disease in paddy ,Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water),BARGARH,1
10653,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related queries,Helpline number-1967,BARGARH,1
10655,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Nursery rice seedling plant not growth properly,Recommended to spray IFFCO Nano urea @ 2-4 ml per liter of water.,BARGARH,1
10662,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Post emergence weeds in paddy ,Recommended to apply saath( Pyrazosulfuron Ethyl 10% WP)80gm in 200 liters water or 20 kg sand per acre within 3-10 days of paddy sowing/transplanting to control post emergence weeds in paddy ,BARGARH,1
10663,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in Paddy,Recommended to  apply  Pretilachlor 50 %EC @ 320 ml Per Acre Of Land Or Mixing With 15-20kg Of Sand.,BARGARH,1
10664,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Cartap hydrochloride 4G application ,Recommended to apply Cartap hydrochloride 4G @10 kg/acre mixing with sand at 1:1 ratio,BARGARH,1
10665,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in nursery of rice at 23 leaf stage of grass,Recommended to spray Bispyribac sodium 10 % SC ( Nominee gold )  @ 80 ml per 200 litre of water per 1 acre of land. ,BARGARH,1
10666,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability, Second fertilizer dose in Paddy,"
Recommended to apply Urea @ 20 kg, Zinc sulphate @ 10 kg, Dhanzyme gold @ 5 kg , Ferterra @ 4 kg per acre as second fertilizer dose in Paddy.",BARGARH,1
10670,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,White Fly Infestation in Rice,Recommended to spray Dhanuka Marker or Iffco Hamada ( Bifenthrin 10 % EC ) @ 500 ml per 200 litre of water per 1 acre of land in Rice,BARGARH,1
10673,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Second dose of fertilizer in paddy,"Second dose of fertilizer in paddy - Urea @ 25 kg, Zinc sulphate @ 10 kg, Ferterra @ 4 kg , Dhanzyme gold (granule)per acre 21 days after transplanting",BARGARH,1
10681,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,To know time of application of urea and ferterra ,Advised to apply urea and ferterra within 18-20 days after sowing.,BARGARH,1
10682,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Basal dose  in paddy,Recommended to apply for paddy  DAP-35 kg + potash -15 kg + urea - 6 kg as basal dose ,BARGARH,1
10683,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Seedling blight in paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control seedling blight in paddy.,BARGARH,1
10686,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Algae growth in Paddy,Recommended to apply Copper sulphate @ 4 kg in 20 kg of sand per acre to control Blue green Algae in Paddy field.,BARGARH,1
10688,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related queries ,Paddy mandi helpline umber -1967,BARGARH,1
10694,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,weed management in Paddy,Pre emergence weed control in paddy= Recommended to spray Pretilachlor 50% EC @ 320 ml + 15 kg sand per 1 acre of land.,BARGARH,1
10701,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy ,Recommended to spray Indoxacarb 15.8% EC @ 120 ml in 200 Litre of water per acre of land (6 ml in 15 Litre water) to control Leaf folder in Paddy. ,BARGARH,1
10703,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer application in paddy,"
 Recommended to apply for paddy  DAP-35 kg + potash -15 kg + urea - 6 kg as basal dose  , then  Urea @ 25 kg, Zinc sulphate @ 10 kg, Ferterra @ 4 kg , Dhanzyme gold (granule)per acre 21 days after transplanting, then Urea @ 20 kg and MOP @ 15 kg per acre as 3rd dose for Fertilizer application in paddy",BARGARH,1
10708,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer dose for paddy,"Recommended to apply urea-6kg, MOP-20kg, Fertera-4kg/acre. ",BARGARH,1
10713,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gall midge in Paddy,Recommended to spray Regent (Fipronil 5% SC) @1.5-2 ml/l to control Gall midge in Paddy.,BARGARH,1
10714,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in paddy,Recommended to apply saathi @ 6gm/15lit water for control of weed in paddy.,BARGARH,1
10720,AGRICULTURE,Cereals,Paddy (Dhan),Sowing Time and Weather,can i sow paddy crop now ,Advise -yes you can sow now but it would be better if you would sow this in december ,BARGARH,1
10722,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,varieties of paddy in summer,"varieties-khandagiri,annada,pathara,bandana,NK 5231,Arize 6444 Gold,Arize Bold,Arize XpressArize 8433",BARGARH,1
10727,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,very rare white flies seen in rice field , Recommended to spray neem oil 3-5 ml per liter of water + sampoo to control very rare white flies seen in rice field .,BARGARH,1
10728,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability, Basal dose in paddy ,Recommended to apply 35 kg DAP+15 kg MOP+5 kg Urea+10 kg Zinc sulphate per acre as Basal dose in paddy ,BARGARH,1
10734,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in transplanted rice after 10 days ,"
Recommended to spray Bispyribac sodium 10 % SC ( Nominee gold )  @ 80 ml per 200 litre of water per 1 acre of land.",BARGARH,1
10735,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,To know  the depth of water for proper growth,--Advised to maintain 3-4cm water table in field for proper growth.,BARGARH,1
10739,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer dose for paddy,"Recommended the fertilizer dose for paddy is urea-25kg, zinc sulphate-10kg, ferrtera 4kg/acre.",BARGARH,1
